;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ;Œ—ÕŒ¬ÕŒ… Œ ¬≈ƒ_id
324;16.10.1;182
325;28.13;394
327;42.13;531
328;81.30;1058
330;10.82;139
331;84.23.18;1095
333;62.01;880
334;85.13;1106
335;94.12;1164
336;01.13.51;7
337;64.19;896
338;01.41;18
339;64.19;896
340;84.23.32;1097
341;45.19.2;569
343;46.34.23;629
344;35.11.3;491
345;93.2;1157
346;46.43.1;653
347;26.12;342
348;65.11;918
349;84.11.8;1084
350;84.11.21;1071
351;70.10.2;978
352;47.19;726
353;16.21.1;186
354;71.12.9;1001
355;01.11.1;2
356;58;859
357;85.42.9;1119
358;64.20;897
359;10.41;114
362;70.22;980
363;01.13.1;4
364;64.19;896
365;85.13;1106
366;62.01;880
367;47.11;722
368;85.21;1108
369;01.11.1;2
370;46.90;720
371;27.12;373
372;84.11.21;1071
373;64.99.1;909
374;46.43.3;655
375;84.11.21;1071
376;72.19;1012
377;26.51.6;361
378;10.13;99
379;94.12;1164
380;63.11;887
381;73.20.1;1022
382;64.99;908
383;86.10;1121
385;26.20.4;345
386;35.12;493
387;20.42;229
388;94.99;1170
389;35.30;502
390;17.29;199
391;52.2;824
392;84.11.3;1074
393;84.11.21;1071
394;46.34.1;626
395;68.20;956
396;65.12;919
397;85.13;1106
398;10.61.2;127
399;38.1;515
400;68.20;956
401;05.10;51
402;10.51;119
404;82.30;1060
405;05.20.11;61
406;94.12;1164
407;84.23.18;1095
408;66.12;930
409;84.11.3;1074
410;84.11.12;1068
411;64.20;897
412;72.19;1012
413;01.47;25
414;42.11;529
415;71.20;1003
416;46.3;613
417;81.22;1055
418;85.22;1109
419;84.11.12;1068
420;01.1;0
421;85.22;1109
422;71.1;981
423;94.12;1164
424;91.02;1141
425;69.10;972
426;28.14;395
427;09.10;89
428;45.31;578
429;01.11;1
430;50.20;807
431;42.11;529
432;71.12.3;990
433;84.23.32;1097
434;62.02;881
435;69.10;972
437;64.20;897
438;85.21;1108
439;68.20;956
440;35.12;493
441;45.11.2;565
442;68.32;968
443;64.19;896
444;84.11.12;1068
445;24.44;301
446;94.92;1169
447;23.44;266
448;64.91;900
449;84.11.35;1078
450;41.20;528
451;85.22;1109
452;52.10;818
453;05.10.1;52
454;62.0;879
455;70.10;976
456;46.74;708
457;50.20;807
458;63.11.1;888
459;20.16;219
462;33.20;487
463;47.19;726
464;84.11.12;1068
465;56.29;857
466;72.19;1012
467;45.3;577
468;65.12;919
469;11.02;156
471;46.1;582
472;46.73;702
473;84.11.21;1071
474;17.11;193
475;70.22;980
476;66.2;940
477;42.11;529
478;30.30.41;460
479;47.8;774
480;64.99.12;911
481;70.22;980
482;68.20;956
483;49.41;797
484;68.32;968
485;94.99;1170
486;47.54;754
487;64.19;896
489;68.20;956
490;68.20;956
491;85.13;1106
492;70.10.2;978
493;86.90.9;1127
494;71.12.41;992
495;66.12.2;932
496;13.91;167
497;27.12;373
498;84.13;1086
499;41.20;528
500;94.20;1166
501;62.01;880
502;20.42;229
506;46.13;588
507;51.10.1;813
508;72.20.2;1017
509;42.11;529
510;93.19;1156
511;84.11.21;1071
512;46.75;712
513;27.12;373
515;26.51;356
516;70.10.1;977
517;85.41.91;1115
